"geneid","strand","fiveprime","threeprime"
"Pc2113T1C00000006g0000010","+",NA,1
"Pc2113T1C00000006g0000020","-",43,1
"Pc2113T1C00000017g0000030","+",3133,130
"Pc2113T1C00000017g0000040","-",52068,130
"Pc2113T1C00000134g0000030","+",225,1059
"Pc2113T1C00000134g0000040","-",6602,1059
"Pc2113T1C00000543g0000140","-",744,2002
"Pc2113T1C00002409g0000110","+",200,20
"Pc2113T1C00002409g0000120","+",20,283
"Pc2113T1C00002409g0000140","-",146,419
"Pc2113T1C00002409g0000130","+",283,419
"Pc2113T1C00002409g0000150","+",146,248
"Pc2113T1C00002409g0000160","+",248,1067
"Pc2113T1C00002409g0000180","-",26782,74
"Pc2113T1C00002409g0000170","+",1067,74
"Pc2113T1C00002409g0000190","+",26782,25975
"Pc2113T1C00002409g0000210","-",700,4679
"Pc2113T1C00002409g0000200","+",25975,4679
"Pc2113T1C00002409g0000230","-",1435,25311
"Pc2113T1C00002409g0000220","+",700,25311
"Pc2113T1C00002409g0000240","+",1435,83
"Pc2113T1C00002409g0000250","-",49,83
"Pc2113T1C00002409g0000260","-",1536,49
"Pc2113T1C00002409g0000270","-",1473,1536
"Pc2113T1C00002409g0000280","+",1473,7402
"Pc2113T1C00002409g0000290","+",7402,12
"Pc2113T1C00002409g0000300","+",12,10466
"Pc2113T1C00002409g0000310","-",49,10466
"Pc2113T1C00000543g0000150","+",744,11842
"Pc2113T1C00002409g0000320","-",14848,49
"Pc2113T1C00002409g0000330","-",13354,14848
"Pc2113T1C00002409g0000340","+",13354,57
"Pc2113T1C00002409g0000350","+",57,8113
"Pc2113T1C00002409g0000360","+",8113,319
"Pc2113T1C00002409g0000370","-",338,319
"Pc2113T1C00002409g0000380","+",338,350
"Pc2113T1C00002409g0000390","-",66,350
"Pc2113T1C00002409g0000400","-",550,66
"Pc2113T1C00000543g0000160","+",11842,365
"Pc2113T1C00002409g0000420","-",429,868
"Pc2113T1C00002409g0000410","+",550,868
"Pc2113T1C00002409g0000430","-",133,429
"Pc2113T1C00002409g0000450","-",451,124
"Pc2113T1C00002409g0000440","+",133,124
"Pc2113T1C00002409g0000470","-",221,114
"Pc2113T1C00002409g0000460","+",451,114
"Pc2113T1C00002409g0000480","+",221,166
"Pc2113T1C00002409g0000490","-",116,166
"Pc2113T1C00002409g0000510","-",2520,640
"Pc2113T1C00002409g0000500","+",116,640
"Pc2113T1C00000543g0000170","+",365,723
"Pc2113T1C00000543g0000180","-",252,723
"Pc2113T1C00002409g0000520","+",2520,2235
"Pc2113T1C00002409g0000530","+",2235,68
"Pc2113T1C00002409g0000540","+",68,26
"Pc2113T1C00002409g0000560","-",444,57
"Pc2113T1C00002409g0000550","+",26,57
"Pc2113T1C00002409g0000570","-",172,444
"Pc2113T1C00002409g0000580","-",254,172
"Pc2113T1C00002409g0000590","-",10,254
"Pc2113T1C00002409g0000600","-",97,10
"Pc2113T1C00002409g0000610","-",179,97
"Pc2113T1C00000543g0000190","-",542,252
"Pc2113T1C00002409g0000620","-",NA,179
"Pc2113T1C00002414g0000010","+",NA,1861
"Pc2113T1C00002414g0000020","+",1861,245
"Pc2113T1C00002414g0000030","-",448,245
"Pc2113T1C00002414g0000040","+",448,902
"Pc2113T1C00002414g0000050","+",902,88
"Pc2113T1C00002414g0000070","-",422,140
"Pc2113T1C00002414g0000060","+",88,140
"Pc2113T1C00002414g0000080","-",1999,422
"Pc2113T1C00002414g0000090","+",1999,825
"Pc2113T1C00002414g0000100","+",825,745
"Pc2113T1C00002414g0000120","-",91,243
"Pc2113T1C00002414g0000110","+",745,243
"Pc2113T1C00002414g0000130","-",199,91
"Pc2113T1C00002414g0000140","+",199,325
"Pc2113T1C00002414g0000150","+",325,321
"Pc2113T1C00002414g0000160","+",321,674
"Pc2113T1C00002414g0000170","+",674,2833
"Pc2113T1C00002414g0000190","-",683,1700
"Pc2113T1C00002414g0000180","+",2833,1700
"Pc2113T1C00000543g0000200","+",542,452
"Pc2113T1C00002414g0000210","-",1332,1101
"Pc2113T1C00002414g0000200","+",683,1101
"Pc2113T1C00002414g0000220","-",295,1332
"Pc2113T1C00002414g0000230","-",111,295
"Pc2113T1C00002414g0000250","-",609,2587
"Pc2113T1C00002414g0000240","+",111,2587
"Pc2113T1C00002414g0000260","-",3616,609
"Pc2113T1C00002414g0000270","-",19,3616
"Pc2113T1C00002414g0000280","-",11986,19
"Pc2113T1C00002414g0000290","-",NA,11986
"Pc2113T1C00002417g0000010","+",NA,33171
"Pc2113T1C00000543g0000210","+",452,687
"Pc2113T1C00002417g0000020","+",33171,294
"Pc2113T1C00002417g0000030","+",294,1883
"Pc2113T1C00002417g0000040","+",1883,566
"Pc2113T1C00002417g0000050","+",566,37
"Pc2113T1C00002417g0000060","+",37,3629
"Pc2113T1C00002417g0000070","+",3629,3002
"Pc2113T1C00002417g0000080","+",3002,74
"Pc2113T1C00002417g0000090","-",391,74
"Pc2113T1C00002417g0000100","+",391,476
"Pc2113T1C00002417g0000110","-",451,476
"Pc2113T1C00002417g0000120","-",859,451
"Pc2113T1C00000543g0000220","+",687,59
"Pc2113T1C00000543g0000230","-",1315,59
"Pc2113T1C00002417g0000130","-",2021,859
"Pc2113T1C00002417g0000140","+",2021,139
"Pc2113T1C00002417g0000160","-",360,1145
"Pc2113T1C00002417g0000150","+",139,1145
"Pc2113T1C00002417g0000170","-",2041,360
"Pc2113T1C00002417g0000180","-",1153,2041
"Pc2113T1C00002417g0000190","+",1153,856
"Pc2113T1C00002417g0000200","+",856,1662
