Orthogroup,P_capsici,P_fragariae,P_infestans,P_parasitica,P_ramorum,P_sojae,Pc2109,Pc2113
OG0007617,KAG1681821.1,KAE8901587.1,PITG_06940,PPTG_16584T0,2507661468,EGZ25686,Pc2109T1C00002419g0000930.1,Pc2113T1C00002335g0001280.1
OG0007618,KAG1681823.1,KAE8901270.1,PITG_06952,PPTG_16573T0,2507661477,EGZ25675,Pc2109T1C00002419g0001030.1,Pc2113T1C00002335g0001380.1
OG0007625,KAG1683482.1,KAE8878193.1,PITG_03841,PPTG_06513T0,2507656845,EGZ28747,Pc2109T1C00002705g0003200.1,Pc2113T1C00002346g0004180.1
OG0007638,KAG1684154.1,KAE8887506.1,PITG_14178,PPTG_09873T0,2507665253,EGZ06970,Pc2109T1C00002738g0000510.1,Pc2113T1C00002262g0000170.1
OG0007639,KAG1684156.1,KAE8887510.1,PITG_14176,PPTG_09871T0,2507665255,EGZ06963,Pc2109T1C00002738g0000460.1,Pc2113T1C00002262g0000230.1
OG0007669,KAG1684896.1,KAE8885233.1,PITG_07794,PPTG_18706T0,2507665553,EGZ07789,Pc2109T1C00003381g0000210.1,Pc2113T1C00002271g0000150.1
OG0007670,KAG1684897.1,KAE8885232.1,PITG_07793,PPTG_18705T0,2507665552,EGZ07788,Pc2109T1C00003381g0000200.1,Pc2113T1C00002271g0000160.1
OG0007671,KAG1684899.1,KAE8885408.1,PITG_07791,PPTG_18703T0,2507665551,EGZ07786,Pc2109T1C00003381g0000180.1,Pc2113T1C00002271g0000180.1
OG0007672,KAG1684901.1,KAE8885194.1,PITG_22840,PPTG_18701T0,2507665549,EGZ07784,Pc2109T1C00003381g0000160.1,Pc2113T1C00002271g0000200.1
OG0007673,KAG1684903.1,KAE8885192.1,PITG_07809,PPTG_18699T0,2507665547,EGZ07783,Pc2109T1C00003381g0000140.1,Pc2113T1C00002271g0000220.1
OG0007674,KAG1684904.1,KAE8885193.1,PITG_07808,PPTG_18698T0,2507665545,EGZ07781,Pc2109T1C00003381g0000130.1,Pc2113T1C00002271g0000230.1
OG0007677,KAG1685036.1,KAE8914970.1,PITG_08598,PPTG_03859T0,2507665410,EGZ22042,Pc2109T1C00001562g0000110.1,Pc2113T1C00001089g0000210.1
OG0007678,KAG1685038.1,KAE8909001.1,PITG_08600,PPTG_03857T0,2507665412,EGZ22040,Pc2109T1C00001562g0000090.1,Pc2113T1C00001089g0000190.1
OG0007679,KAG1685040.1,KAE8908995.1,PITG_08602,PPTG_03855T0,2507665413,EGZ22039,Pc2109T1C00001562g0000070.1,Pc2113T1C00001089g0000170.1
OG0007680,KAG1685044.1,KAE8909395.1,PITG_08605,PPTG_03852T0,2507665416,EGZ22035,Pc2109T1C00001562g0000030.1,Pc2113T1C00001089g0000140.1
OG0007681,KAG1685047.1,KAE8909392.1,PITG_08608,PPTG_03849T0,2507665417,EGZ22032,Pc2109T1C00003108g0000010.1,Pc2113T1C00001089g0000110.1
OG0007682,KAG1685048.1,KAE8909393.1,PITG_08609,PPTG_03848T0,2507665418,EGZ22031,Pc2109T1C00003108g0000030.1,Pc2113T1C00001089g0000100.1
OG0007683,KAG1685049.1,KAE8909394.1,PITG_08610,PPTG_03847T0,2507665419,EGZ22024,Pc2109T1C00003108g0000040.1,Pc2113T1C00001089g0000090.1
OG0007689,KAG1685156.1,KAE8915562.1,PITG_01423,PPTG_12043T0,2507658026,EGZ16940,Pc2109T1C00002478g0000510.1,Pc2113T1C00002385g0000250.1
OG0007710,KAG1685559.1,KAE8896297.1,PITG_14613,PPTG_13909T0,2507656562,EGZ13172,Pc2109T1C00002569g0000860.1,Pc2113T1C00002259g0000970.1
OG0007711,KAG1685560.1,KAE8896296.1,PITG_14614,PPTG_13908T0,2507656561,EGZ13171,Pc2109T1C00002569g0000870.1,Pc2113T1C00002259g0000980.1
